rok,prezident,jmeno,posmrti
2015.0,Zeman,Abdullah II. bin Al Hussein,
1996.0,Havel,Alžběta II.,-26.0
2019.0,Zeman,Jan Antonín Baťa,54.0
2018.0,Zeman,Josef Bílý,77.0
2019.0,Zeman,Emil Boček,
2021.0,Zeman,Jiřina Bohdalová,
1995.0,Havel,Juan Carlos I.,
2018.0,Zeman,Stanislav Čeček,88.0
2021.0,Zeman,Alfred Duff Cooper,67.0
2016.0,Zeman,Andrzej Duda,
1997.0,Havel,Jacques Chirac,-22.0
1998.0,Havel,William Jefferson Clinton,
2019.0,Zeman,Bohuslav Ečer,65.0
2009.0,Klaus,Heinz Fischer,
2018.0,Zeman,Jan Gajdoš,73.0
2013.0,Zeman,Ivan Gašparovič,
2014.0,Zeman,Joachim Gauck,
2020.0,Zeman,Karel Gott,1.0
2021.0,Zeman,Alexander Hess,40.0
2020.0,Zeman,v.v. František Chábera,21.0
2018.0,Zeman,Karel Husárek,46.0
2010.0,Klaus,Lech Aleksander Kaczyński,0.0
2021.0,Zeman,Petr Kellner,0.0
2019.0,Zeman,Václav Klaus,
2004.0,Klaus,Aleksander Kwasniewsky,
2018.0,Zeman,Karel Lánský,-1.0
2017.0,Zeman,Borut Pahor,
2000.0,Havel,Johannes Rau,-6.0
2021.0,Zeman,Vladimír Remek,
2018.0,Zeman,Antonín Švehla,85.0
1996.0,Havel,Ezer Weizman,-9.0
1997.0,Havel,Madeleine K. Albrightová,-25.0
1998.0,Havel,Josef Bartík,30.0
2012.0,Klaus,Alexander Beer,-3.0
2010.0,Klaus,Emil Boček,
2000.0,Havel,Willy Brandt,8.0
1995.0,Havel,Jan Bret,-7.0
2006.0,Klaus,Josef Bryks,49.0
2005.0,Klaus,Josef Buršík,3.0
1999.0,Havel,George Bush,-19.0
2009.0,Klaus,Otakar Černý,0.0
1998.0,Havel,Antonín Mikuláš Číla,15.0
2011.0,Klaus,Václav Djačuk,-4.0
1997.0,Havel,Jean-Philippe Douin,-19.0
2003.0,Klaus,Alexander Dubček,11.0
2002.0,Havel,Josef Duda,25.0
2016.0,Zeman,Dominik kardinál Duka OP,
1996.0,Havel,Alois Eliáš,54.0
2004.0,Klaus,František Fajtl,-2.0
2014.0,Zeman,Robert Fico,
2009.0,Klaus,Imrich Gablech,-7.0
1996.0,Havel,J.E. Bernardin kardinál Gantin,-12.0
1995.0,Havel,Vladimír Garncarz,-9.0
1999.0,Havel,Michail Sergejevič Gorbačov,-23.0
2003.0,Klaus,Árpád Göncz,-12.0
1995.0,Havel,Antonín Hasal,35.0
1998.0,Havel,Paul Hatry,-12.0
2003.0,Klaus,Václav Havel,-8.0
2017.0,Zeman,Michael Häupl,
2007.0,Klaus,Stanislav Hnělička,-9.0
1998.0,Havel,Bedřich Homola,55.0
2007.0,Klaus,Rudolf Hrubec,63.0
1998.0,Havel,Josef Hyhlík,1.0
1997.0,Havel,George A. Joulwan,
1995.0,Havel,Miroslav Kácha,-15.0
1999.0,Havel,Helmut Kohl,-18.0
2011.0,Klaus,Miluláš Končický,-4.0
2012.0,Klaus,Vasil Korol,-3.0
1998.0,Havel,Jaroslav Krátký,53.0
2000.0,Havel,Bruno Kreisky,10.0
2017.0,Zeman,Ludvík Krejčí,45.0
2004.0,Klaus,Rudolf Severin Krzák,0.0
2017.0,Zeman,Karel Kutlvašr,56.0
2016.0,Zeman,Karel Kuttelwascher,57.0
2010.0,Klaus,Marie Ljalková-Lastovecká,-1.0
1997.0,Havel,Jindřich Macháček,
1998.0,Havel,Joachim kardinál Meisner,-19.0
1999.0,Havel,François Mitterrand,3.0
1999.0,Havel,Klaus Naumann,
1996.0,Havel,Vladimír Nedvěd,-16.0
1997.0,Havel,Bedřich Neumann,33.0
2019.0,Zeman,Josef Ocelka,77.0
2000.0,Havel,Olof Joachim Palme,14.0
1998.0,Havel,George S. Patton,53.0
2005.0,Klaus,Rudolf Pernický,0.0
1997.0,Havel,František Peřina,-9.0
1995.0,Havel,Felix Peřka,-10.0
2003.0,Klaus,Anton Petrák,-6.0
2017.0,Zeman,Karel Pezl,
2010.0,Klaus,Jan Plovajko,-10.0
1997.0,Havel,Karel J. Procházka,-2.0
1997.0,Havel,Radovan Procházka,-23.0
2000.0,Havel,Pravomil L. Raichl,-2.0
1999.0,Havel,Ronald Reagan,-5.0
1997.0,Havel,Josef Robotka,45.0
1998.0,Havel,Chanan Rozen,-15.0
1998.0,Havel,John M. D. Shalikashvili,-13.0
2019.0,Zeman,Jaroslav Selner,46.0
2017.0,Zeman,Gerhard Fritz Kurt Schröder,
2019.0,Zeman,Rudolf Schuster,
1995.0,Havel,Oldřich Skácel,-7.0
1998.0,Havel,František Slunečko,35.0
1998.0,Havel,Javier Solana,
2000.0,Havel,Vilém Stanovský,28.0
2002.0,Havel,Oto Stehlík,
2003.0,Klaus,Alois Šiška,0.0
2006.0,Klaus,Antonín Špaček,-1.0
1999.0,Havel,Margaret Thatcherová,-14.0
2016.0,Zeman,Ferdinand Trauttmansdorff,
2011.0,Klaus,Jan Velík,-5.0
2002.0,Havel,Guido Venturoni,
1997.0,Havel,Sergej Vojcechovský,46.0
2014.0,Zeman,Franz Vranitzký,
1995.0,Havel,Veleslav Wahl,45.0
1999.0,Havel,Lech Walesa,
2003.0,Klaus,Richard von Weizsäcker,-12.0
1999.0,Havel,Simon Wiesenthal,-6.0
2002.0,Havel,Thomas Ray Wilson,
2008.0,Klaus,Jiří Zenáhlík,
2019.0,Zeman,Helmut Zilk,11.0
1990.0,Havel,François Mitterrand,-6.0
1990.0,Havel,Vladimír Krajina,-3.0
1990.0,Havel,Zdena Salivarová - Škvorecká,
1992.0,Stráský,H. G. Skilling,-9.0
1990.0,Havel,Josef Škvorecký,-22.0
